,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
286,第四范式（北京）技术有限公司,企业服务,"['500', '2000']",本科,20,40,"(0,0)",,
287,北京航天泰睿科技有限公司,其他,"['50', '150']",本科,20,30,"(1,3)","1、红外图像处理方向算法设计，负责图像增强、目标检测识别跟踪等相关算法设计。（2人）
2、通信方向算法设计，负责系统通讯算法开发设计、完成系统通讯算法落地实现。（2人）
3、其他，分析解决实际业务问题，根据产品要求进行算法设计和优化。（2人）

","1、本科及以上学历，计算机、电子、通信、数学、物理、光学、图像处理等相关专业；
2、优秀的分析和解决问题的能力；
3、掌握计算机相关知识，熟练使用仿真工具Matlab等，会一门编程语言者优先；
4、图像处理方向，有光学专业背景或熟悉红外成像原理者优先。"
288,北京亿玛创新网络科技有限公司,"移动互联网,电商","['500', '2000']",本科,18,25,"(3,5)","1.负责海量用户行为数据的接入和整合，多维度建设用户画像； 
2.负责数据采集、存储、分析、挖掘工作，丰富用户画像； 
3.基于数据管理平台指导数据决策并输出解决方案；
","1.熟悉Linux系统环境，精通Java/Scala/Python等大数据领域常用开发语言的一种或多种；
2.熟练掌握主流大数据常用框架，如"
289,数贸科技（北京）有限公司,电商,"['500', '2000']",不限,25,50,"(3,5)","1、 计算机或数学相关专业毕业，2年以上工作经验。
2、 熟练使用hive 、spark SQL等进行特征提取，能使用tensorflow 编程，进行算法建模。
3、对LR/SVM、deepfm、lstm、 Q-learning等等算法理解深刻，
4、有数据敏感度，有数据分析的能力
5、自我驱动，自我激励，强烈的责任意识
6、聪明好学，coding带劲，沟通顺畅，思",
290,北京高因科技有限公司,移动互联网,['2000'],硕士,30,55,"(3,5)","1.  参与相关模型开发和优化工作，负责模型在业务端落地。
2.  跟踪前沿的算法理论，并且将优秀的算法应用到业务场景中，通过技术创新提升业务价值。

","1.  深刻理解深度学习、统计机器学习等理论，并且在风控、文本、搜索、推荐、广告等一个或多个领域上有一定经验； 
2.  算法工程基础扎实，熟悉Java/Python/Shellscript，对常用机器学习算法技术栈有较为深刻的理解； 
3.  熟悉基本大数据环境基础工具的使用，熟悉Spark、 Hive、ES、HBase等，有基于这些工具进行数据处理、分析的数学模型能力；
4.  有大规模算法落地经验者优先考虑；"
291,北京京东世纪贸易有限公司,物流丨运输,['2000'],硕士,35,65,"(5,10)","1. 为开放商家、仓网规划、经分等不同业务线赋能，服务供应链商品布局、补货调拨、仿真优化等环节、经营分析以及物流网络运营规划，主要负责算法模型设计，同时也需要参与需求沟通、数据处理以及上线工程化；
2. 分析并解决建模过程中遇到的问题，迭代优化模型，提升模型准确率；
3. 参与算法中台组件建设，沉淀不同场景解决方案，提升组件可复用能力；
4. 相关领域前沿技术研究和技术创新。

","1、研究生及以上学历，数学、统计、运筹、计算机等相关专业，有扎实的数理分析基础；
2、熟悉时间序列分析、机器学习、深度学习算法，深入理解算法细节，能够熟练进行数学建模，有独立完整的建模实践经验；
3、有需求预测、精准营销、算法中台建设相关工作经验者优先；
4、熟练掌握sql,掌握python、java等至少一种编程语言，有大规模分布式计算框架开发经验，有基于TF、pytorch等深度学习算法开发经验或者相关研究背景的优先；
5、积极主动，有技术热情、强烈的责任感、踏实勤奋的工作态度，有良好的沟通能力，跨团队协作能力，具备出色的规划、执行力。"
292,维恩贝特科技有限公司,电商,"['500', '2000']",本科,15,30,"(3,5)",,
293,上海脉络市场营销策划有限公司,"数据服务,社交",['15'],硕士,28,40,"(3,5)","1. 211或985硕士毕业
2. 有3年以上工作经验优先，如特别优秀可放宽
3. 既往工作以NLP为主，熟悉各种NLP算法
4. 如果有既往参加各种比赛经验请列明
5. 有医疗相关NLP处理经验优先录用
6. 勤奋，自主，学习能力强
7. 为人谦虚，易合作，可以快速",
294,郑州市富连网电子科技有限公司深圳分公司,电商,"['500', '2000']",硕士,30,60,"(3,5)","1. ToF深度成像系统开发2. 深度相机（ToF)标定，标定系统开发3. 点云/深度图后处理模块算法开发（滤波、RGBD/双目融合）4. 点云 3D建模，如物体位姿估计，物体尺寸估计5. 点云定位导航算法开发 (VSLAM)

1、精通C/C++/Python等编程语言，熟悉ROS，有较强的代码能力；2、熟悉深度相机成像原理(ToF)，深度相机标定、融合，深度图/点云后处理；3、了解3D建模算法，了解点云定位导航算法（SLAM），了解视觉VIO/VINS；4、数学基础（矩阵运算、随机过程、微积分）",接受985+海外留学背景+相关项目经验丰富的经验浅的人选
295,北京顺丰同城科技有限公司,移动互联网,"['500', '2000']",本科,20,40,"(1,3)","1. 在物流行业向科技化智能化转型的节点，借助AI与大数据能力为同城物流多种应用场景赋能。
2. 研究机器学习与数学建模的相关技术，并用于实际问题的改善和优化。
 
","1. 有机器学习相关背景，熟悉常见的回归、分类、聚类模型；
2. 优秀的开发能力(Python/C++/go)，熟悉linux编程环境；
3. 良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题。
4. 本科及以上学历，计算机相关专业背景
5. 熟悉大数据开发平台（Hadoop/Hive/Spark) 优先"
