,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
594,知乎,北京,500-2000人,,推荐算法工程师,2020-04-03 19:15:54,25k-50k,不限,硕士,1、知乎各个场景下的推荐策略持续优化 2、使用机器学习技术改进知乎的推荐产品的用户体验 3、深度学习等算法在推荐场景的实验和落地应用  ,1、对推荐系统和推荐算法的优化有丰富的经验。2、对机器学习和数据挖掘技术有比较深入的了解，并进行过相关的实践； 3、在以下至少一个领域
595,抱抱（北京）信息技术有限公司,北京,50-150人,移动互联网,推荐算法工程师,2020-04-03 09:46:45,40k-70k,3-5年,本科,"1、负责公司核心产品推荐系统、机器学习平台、垂类业务算法工作； 
2、负责产品个性化推荐方向的策略优化，用户画像，以及推荐系统的效果改进； 
3、对产品效果进行数据分析及问题定位和解决。
","1、本科以上学历，2年以上相关工作经验，优秀的工程实践能力，良好的编码习惯，对挑战性的问题充满激情；
2、良好的学习能力及沟通能力，良好的团队合作精神，自我驱动性强；
3、熟悉 linux 开发环境，熟悉 Python，scala，java ，shell等脚本，语言的开发。熟悉spark，hadoop等大数据集群；
4、有扎实的数据结构和算法基础，熟悉协同过滤，FM，LR，NN等常见算法；
5、对推荐系统、机器学习相关技术有经验者优先； 有信息流推荐的优先；有视频语音推荐的优先；
6、至少熟练使用一款开源机器学习工具。"
596,北京力拓飞远科技有限公司,北京,50-150人,"移动互联网,消费生活",自然语言高级算法工程师,2020-04-03 19:02:05,30k-50k,5-10年,硕士,"1.负责相关产品的数据处理和分析；2.负责相关产品算法设计与实现。
",1.计算机、人工智能、模式识别、神经科学、数学等相关专业的硕士、博士(985、211优先);2.具有扎实的数学和英文功底，可以无障碍地阅读和复现英文文献；3.精通Python、c/c++等开发语言；4.精通Tensorflow、Keras、PyTorch等一种以上开源框架；5.参与做过NLP、NLG、NLU等方向的真实商业项目，并有实际高并发下的模型优化经验；6.可独立完成项目开发，有团队管理经验；7.发表过顶会核心期刊论文的优先考虑。
597,北京臻迪科技股份有限公司,北京,150-500人,硬件,SLAM算法工程师,2020-04-03 09:24:22,20k-40k,3-5年,本科,"1.      研究并开发机器人或无人机在未知环境中，基于相机、IMU等的SLAM算法；
2.      研究并开发机器人或无人机自主导航中的路径规划算法；
3.      算法的移植和产品化。
 
","1.    硕士及以上学历,自动化、计算机、电子工程、通信工程等相关专业；
2.    熟悉机器人或无人机视觉导航技术，熟悉SLAM、路径规划等算法相关技术；
3.    熟悉ORB SLAM，SVO，DSO、LSD SLAM等SLAM算法，掌握其基础理论，包括视觉特征提取和跟踪、多视图几何、回环检测、卡尔曼滤波、非线性优化等；
4.    丰富的C/C++项目开发经验，熟悉Matlab、OpenCV、ROS等；
5.    有机器人或无人机定位导航项目实际开发经验或相关比赛经验者优先；
6.    在计算机视觉及机器人相关领域发表**会议或期刊论文者优先；
7.    具备嵌入式系统视觉算法开发或移植经验者优先。"
598,北京云动数字媒体技术有限公司,北京,150-500人,企业服务,高级搜索算法工程师,2020-04-03 18:53:03,30k-50k,5-10年,本科,,
599,北京智米科技有限公司,北京,50-150人,"硬件,移动互联网",算法工程师（小米生态链）,2020-04-03 16:21:40,20k-40k,1-3年,硕士,,
600,颐月信息技术（北京）有限公司,北京,50-150人,"金融,数据服务",金融数据算法工程师,2020-04-03 15:59:21,25k-50k,1-3年,本科,"1. 围绕金融交易数据进行数据挖掘、分析。比如用户画像，交易行为等等；
2. 进行量化投研基本面分析、风险分析、量化策略研究、量化因子体系、智能交易风控、智能投研等模型算法研发；
3. 负责模型算法系统设计架构、调优；
4. 和金融相关业务人员沟通模型和算法，落地更多金融AI场景；
5. 将机器学习算法应用到金融数据中并开发相应的策略； 


","1. 985工程高校毕业，本科及以上学历，理工科专业（数学、统计、金融工程，计算机），有复合学历背景者优先； 
2. 熟悉大数据架构的相关技术，包含但是不限于hadoop, spark，Sklearn、Tensorflo等；
3. 具有熟练的编程能力 ( Matlab / Python / R /java 等优先)，在机器学习、深度学习、数值模型研究方面有兴趣并有相关经验；
4. 熟悉机器学习或自然语言处理技术（分词、词性标注、命名实体识别、文本分类、意图识别等），深度学习例如CNN、RNN、Lstm等，了解最新的模型例如DenseNet、Bert、GNN等，对数据预处理、特征工程等有丰富的经验； 
5. 有金融数据分析及量化分析经验优先考虑；
6. 在主流基金、 金融科技公司相关经验优先考虑；
7. 有数字货币行业研究经验优先考虑；
8. 有数据使用经验，比如Sql，HiveSQl，SparkSql优先考虑；
9. 有论文、开源项目、算法竞赛经验者优先考虑；
10. 良好的创新意识，逻辑思维能力、数据分析能力、沟通协调能力、抗压能力、团队合作能力和快速学习能力，勤奋踏实好学，能承受一定的工作强度。"
601,北京轻威科技有限责任公司,北京,15-50人,"移动互联网,其他",图像算法工程师,2020-04-03 09:15:58,15k-30k,1-3年,硕士,"1.负责将计算机视觉、图像处理的前沿技术应用于VR领域；
2.根据产品研发需求进行技术选型，研究分析技术难点；
3.实现算法原型并进行性能优化，在真实数据上进行测试与性能评估。

任职要求
1. 计算机视觉、图像处理或计算机硕士及以上学历，博士优先，且博士待遇从优；
2. 熟悉IK算法，熟悉针孔摄像机模型、单视几何、多视几何，了解三维重建相关技术，了解摄像机标定原理，有实际项目经验者优先，
3. 熟悉各种图像处理算法；能熟练使用opencv等常见工具；
4. 扎实的数学基础，精通线性代数，熟悉优化问题建模及求解；
5. 具有较强的创新能力，对计算机视觉技术有较高的热情，有相关学术论文发表或丰富的技术专利撰写经验",
602,北京构力科技有限公司,北京,500-2000人,其他,几何算法工程师,2020-04-03 09:22:38,35k-45k,5-10年,本科,,
603,脸球（北京）科技有限公司,北京,15-50人,"移动互联网,社交",高级大数据开发工程师,2020-04-03 20:44:08,25k-50k,5-10年,本科,"1、负责大数据的日常开发,包括架构和日常的业务；
2、与业务方沟通日常的需求,梳理需求文档,产出技术方案;
3、支撑用户行为分析,用户画像,智能推荐系统的开发和建设。

","1. 能够熟练运用java语言和scala语言实现编程;
 2. 深刻理解HDFS分布式文件系统存储结构和高可用原理;
 3. 能运用scala进行spark RDD，spark streaming编程;
 4. 熟练掌握hadoop mapreduce计算框架编程，对yarn的资源调度，作业监控了解;
 5. 深刻了解Spark运行机制,掌握spark streaming编程，对定时批量任务处理;
 6. 熟悉flume，kafka等日志收集以及kafkaconnect实时多系统导入导出工具等分发框架的使用，能够将他们和storm、spark进行整合,进行数据的实时处理;
 7. 能够熟练运用hive数据仓库工具，对日志数据进行查询，统计等数据操作，并且有一定的数据优化经验;
 8. 能将hive和spark sql进行整合，进行数据查询等相关操作;
 9. 熟悉hbase数据库的使用及其编程;
 10. 熟悉redis内存数据库，能搭建redis高可用集群及其编程;
 11. 熟悉ELK技术栈，了解ElasticSearch，Logstash的整合使用;
 12. 掌握Sqoop数据迁移工具的使用，能熟练的将数据从不同的存储介质进行迁移;
 13. 了解linux系统，熟悉常用的linux的shell命令，能在linux系统下搭建开发环境;
 14. 熟练掌握JavaSE，深刻理解面向对象设计思想，熟练使用IO流操作、集合框架、网络编程等JavaSE主流技术及ssm框架的使用;
 16. 能熟练使用Oracle，MySql主流数据库技术，擅长SQL语句的编写
 17. 熟悉大数据环境的搭建,集成,运维工作,擅长调优最好

加分项"
604,速感科技（北京）有限公司,北京,50-150人,"硬件,移动互联网",机器人导航算法工程师,2020-04-03 10:59:37,12k-20k,不限,本科,"1.负责机器人运动控制和路径规划算法的开发
2.负责机器人运动控制和路径规划算法的移植及产品化
","1.本科及以上学历，自动化、测控、导航、电子信息等相关专业
2.熟练掌握C/C++语言，以及基本的数据结构和算法
3.熟悉ros、熟悉机器视觉技术、熟悉GCC、GDB、GIT等工具；
4.熟悉陀螺仪、惯性技术，有机器人定位和导航相关开发经验；
5.熟悉Keil，有STM32相关开发经验、熟悉控制算法和多传感器数据融合技术
4.英语六级通过（如果有托福、雅思或GRE等成绩更好）
5.具备良好的逻辑沟通能力和解决实际问题的能力
6.对机器人技术有热情"
605,北京捷通华声科技股份有限公司,北京,150-500人,"移动互联网,数据服务",语音识别算法工程师（ASR）,2020-04-03 15:58:38,20k-40k,1-3年,硕士,,
