,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
207,达令心潮（北京）商贸有限公司,北京,150-500人,电商,高级数据分析师,2020-03-31 11:20:19,25k-35k,3-5年,本科,,
208,北京华瑞宏泰信息技术有限公司,北京,50-150人,区块链,数据分析师,2020-04-03 16:41:46,15k-20k,3-5年,本科,"1.深入理解公司业务（二级市场交易/用户增长等），建立能反馈业务实际情况的数据分析体系2.每日监控数据变化，及时发现和上报业务风险，驱动业务发展
",1.全日制统招本科及以上学历，数学、统计学、计算机等相关专业毕业，2年以上数据分析或商业分析经验2.具备良好的数据处理、分析、呈现能力3.追求高效和卓越，有较强的沟通能力、抗压能力、自驱力4.对二级市场交易有一定理解者优先5.熟悉QuickSight、PowerBI者优先6.熟悉SQL，有基本的编程能力（PHP/Python/Go/Java等语言不限）者优先
209,北京转转精神科技有限责任公司,北京,500-2000人,"移动互联网,消费生活",数据分析师,2020-04-03 16:35:21,15k-25k,3-5年,本科,1.本科及以上学历；2.互联网深度用户；熟悉互联网商业模式；熟悉各类分析方法与工具；熟练使用SQL、MySQL、Python等工具者优先；3.两年以上咨询、数据分析、运营分析等经验者优先；4.优秀的逻辑思考和总结能力、以解决问题为导向；优秀的数据挖掘、数据提取、数据分析能力；快速学习、自我驱动；优秀的沟通协作能力，善于沟通表达及跨部门协作；创业精神、领导力,
210,行吟信息科技（上海）有限公司,北京,500-2000人,消费生活,大数据开发工程师,2020-04-03 21:53:47,25k-50k,3-5年,本科,"1. 负责数据分布式存储、计算系统；
2. 高水平团队，有 Ownership 的推动数据系统迭代；
3. 从架构到业务，支持公司快速发展；
4. 支持 CRM、搜索、机器学习平台等应用的底层数据架构。

","1. 掌握分布式系统原理，对存储、离线计算、实时计算中的一项或多项有深入的理解和认识；
2. 很强的系统设计&amp;编码能力，追求优雅的设计和优秀的代码质量，高标准，快速行动；
3. 思路清晰，具备生产系统快速 trouble-shooting 的经验和能力，擅长分析更深层次的原因；
4. 对 HDFS, RocksDB, LevelDB, Memcache, Redis, MySQL, HBase, Kafka 的一项或多项有开发经验；
5. 了解 Kafka、 MQ 等消息系统；
6. 对 Spark, Druid, Flink, OLAP 的一项或多项有经验者优先；
7. 拥抱新技术，有很强的学习能力。"
211,成都西山居互动娱乐科技有限公司珠海分公司,北京,2000人以上,游戏,游戏数据分析实习生,2020-04-03 18:23:29,3k-5k,应届毕业生,本科,,
212,北京搜狐新媒体信息技术有限公司,北京,2000人以上,"移动互联网,广告营销",数据分析实习生,2020-04-03 17:30:57,2k-3k,应届毕业生,本科,"熟悉python，有互联网实习经验优先。


【职位描述】

1.搜狐移动端页面基础数据支持，产品改版数据分析支持。
2.协助团队完善移动端 AB 实验的统",
213,平安健康保险股份有限公司,北京,500-2000人,金融,093131-数据分析师,2020-04-05 00:00:06,15k-25k,3-5年,本科,,
214,北京自如生活企业管理有限公司,北京,2000人以上,房产家居,数据分析师,2020-04-03 14:24:55,9k-15k,1-3年,本科,"1、 根据业务逻辑进行核心指标体系的梳理，支撑核心指标中长期变化的归因，帮助定位业务增长的关键驱动因素；
2、 能从多维度进行业务指标运营分析，指导和支持公司业务发展，高效解决实际业务问题；
3、规划重要业务指标看板，梳理数据监控目标和统计口径，推动生产数据报表化；
4、负责定向的数据分析项目，输出优化建议及方案。

","1、统招本科以上学历，具备2年以上数据分析领域的经验，统计、经济学、社会学或相关专业；
2、具有良好的业务理解能力和逻辑拆解能力，对解决有挑战性的问题充满热情；
3、沟通能力强，能够和职能、业务团队保持高效沟通；
4、熟练掌握SQL，熟悉powerBI或tableau等可视化工具，了解Python/R等建模语言；
5、熟悉基本的机器学习算法，具有应用模型算法进行典型数据挖掘课题（预测、回归、聚类等）研究的相关经验者优先。"
215,北京腾云天下科技有限公司,北京,500-2000人,移动互联网,高级数据分析师（数据经理）(J10346),2020-04-03 18:00:07,20k-30k,3-5年,本科,"a）岗位职责
1、负责数据产品的设计；
2、规划业务领域主题模型，与业务沟通并管理数据需求；
3、参与数据仓库支持工具设计；
4、面向数据应用于数据治理的数据分析与数据探索；
","b）任职要求
1、本科及以上学历，5-10年数据分析经验；
2、深入理解数据仓库建设和业务建模理论，掌握E-R模式和Kimball维度模型设计；
3、熟悉OLAP和OLTP技术，能进行SQL优化，进行ETL开发；
4、有大规模数据处理的实践经验；"
216,北京智铀科技有限公司,北京,50-150人,数据服务,数据分析实习生,2020-04-03 16:38:21,3k-4k,应届毕业生,本科,"1、 对金融数据进行分析和建模，总结效果并出调研报告；
2、 研究总结金融量化规律，并运用数量化方法论证和实现一些简单策略；
3、 通过数据挖掘，发掘数据规律、寻找交易逻辑；
4、 开发交易系统相对应的数据接口等模块。
","1、毕业于国内外一流名校的数学，统计学，物理，计算机等相关专业；
2、数学基础扎实，能熟练应用数学语言描述现实问题；
3、熟练使用Python语言，有C++工程经验优先；
4、对量化研究有强烈兴趣，对数字敏感和自我学习能力强；
5、熟悉机器学习或有各类竞赛获奖经历（ACM、NOI、IMO）优先；
 
6、熟悉量化交易的一般流程，有类似实习经历者优先。
 
Tips"
217,上海淇毓信息科技有限公司,北京,500-2000人,金融,数据分析 leader,2020-04-05 18:18:48,30k-45k,5-10年,不限,"1、对产品海量用户行为、交易、公开数据数据进行分析，从数据中挖掘潜在的问题和运营价值，规划、设计基于挖掘模型的解决方案；

2、根据客户属性、生命周期、产品使用、风险评级等多维度数据，建立分析框架，创建用户标签，挖掘不同类群客户的价值；

3、为业务P&amp;L，成交量，收入和利润提供基于数据分析的建议；与产品、运营、风险等团队紧密合作，推进业务策略执行和项目落地；

4、根据各业务部门的实际业务要求完成较深入的专项数据分析及相关研究；

5、通过数据研究，提出改善运营质量的方法和建议，搭建数据分析体系，为业务决策提供支持。

","1、计算机、数理统计、金融等相关专业，5年以上互联网行业数据分析经验（必须），并对盈利性分析、运营分析有深刻见解；

2、具有深厚的统计学、数学、数据挖掘知识；

3、能根据业务的实际情况设计数据模型；

4、精通SQL、Python编程，熟悉大数据分析手段（Hive、Spark）；

5、良好的逻辑思维与表达能力，善于用简单语言表述复杂结论。"
218,网联清算有限公司,北京,150-500人,金融,大数据开发工程师,2020-04-03 16:18:28,25k-40k,5-10年,本科,"1、 负责大数据集群建设、运维、管理，大数据系统集成研发，公司数据运营、数据
运维、数据风控产品的设计开发等工作。 
2、 使用数据挖掘工具，对支付业务数据进行分析，挖掘用户行为特征，构建用户精
准行为的体系模型。 
3、 深入理解支付业务的方向和战略、针对具体的业务问题，规划、设计基于数据挖
掘的解决方案。
","全日制数学、统计、计算机等相关专业本科以上学历 
3 年以上大数据分析挖掘相关经验，互联网金融行业背景优先 
工作经验 
1、数据挖掘项目经验丰富，在挖掘模型应用上有成功案例。 
2、对数据挖掘方法论有深刻理解，能深入分析、定位业务问
题，并利用挖掘模型解决。 
3、熟悉常见的概率统计、数据挖掘、机器学习算法，包括聚
类、回归、关联规则、决策树、朴素贝叶斯等常用算法的适用
场景。 
4、熟练掌握 Hadoop、Hive、Spark、流式计算、实时计算等大
数据相关技术。 
5、熟练掌握 java、shell、python 等编程语言，精通 sql。"
219,北京拉勾网络技术有限公司,北京,500-2000人,企业服务,高级数据分析讲师,2020-04-05 11:13:56,25k-50k,不限,本科,,
220,北京闪银奇异科技有限公司,北京,500-2000人,"移动互联网,金融",数据分析师,2020-04-03 13:25:24,15k-30k,3-5年,本科,"1、充分利用各项数据库资源，组织进行数据的提取、挖掘、整理，完成对多种数据源的深度诊断性组合分析，建立分析模型；
2、跟踪核心业务指标变化，通过数据分析定位问题，并给予解决方案建议；
3、使用大数据工具，完成业务需求
4、协助业务部门完成相关数据需求，推动产品发展和提供优化方案；
5、对业务有很强的兴趣，喜欢并擅长利用数据分析来解决业务问题。

","1. 985、211院校毕业，统招本科及以上学历，数学统计类、经管类、计算机专业优先； 
2. 具有强烈的学习意愿，不排斥编程工具；
3. 认同数据在当今时代的价值，对数据敏感，有独立自洽的分析逻辑和观点，并能够在海量数据中找到数据支持； 
4. 具备良好的沟通能力、积极主动的学习能力，思维敏捷，逻辑严密，做事严谨、细致。"
