,公司名,公司领域,招聘岗位,薪资,公司位置,学历,工作年限,发布时间,岗位职责,岗位要求,公司人数
91,字节跳动,互联网/移动互联网/电子商务,高级数据分析师-抖音/火山,['面议'],['北京-海淀区'],['本科及以上'],['3年以上'],2020年04月05日,1、负责抖音/火山/直播等多款产品的策略相关数据分析工作；2、梳理业务核心逻辑，构建能够刻画业务当前状态的数据体系；3、对互联网某几项领域有深入的了解，能从行业趋势和产品形态等角度，给业务方方向与业务模式的建议；4、全面分析各项影响产品提升与增长的因素，各项业务细节，结合业务方向，给出可落地的整体的产品优化方案；5、区别传统回答问题型分析师，希望能够解决问题，针对一个业务方向，能够找出其中问题，产出策略，推动落地执行。,1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先；2、好奇心强，求知欲强，有钻研探索精神，对数据分析有强烈兴趣者优先；3、有互联网公司数据分析，产品经理，运营经理，策略经理等多方面经验者优先；4、创新能力强，面对业务上各种新问题，能创造性的发明新的分析优化方案者优先；5、性格严谨细致认真。,['10000']
92,字节跳动,互联网/移动互联网/电子商务,直播审核策略-数据分析方向（CPDA）,['面议'],['北京-海淀区'],['本科及以上'],['经验不限'],2020年04月05日,1、以提升审核质量为目的，对内容质量核心数据进行分析；2、从数据方面找出指标之间的相互关联关系，及时发现审核异常情况；3、从数据分析方向着手，并辅助梳理直播链路和流程；4、直播业务相关数据需求和分析需求，完善直播业务分析基础数据建设；5、支持配送各部门提数需求。,"1、熟练掌握数据报表处理工具，熟练使用hive,sql与excel；2、在数据挖掘、分析方面有丰富经验；3、具备良好的沟通协调能力,逻辑能力，对数据敏感；4、2年以上数据分析经验；大学统计学，数学，计算机，信息管理相关专业优先；5、态度端正，自我学习及抗压能力强；6、对互联网平台内容关注度高，直播相关工作经验者优先。",['10000']
93,泰康健投,基金/证券/期货/投资,健康科技中心-高级数据分析师,['15-25k·15薪'],['北京'],['统招本科'],['5年以上'],2020年04月05日,1. 基于HADOOP生态系统进行大数据平台建设；2. 负责各业务条线相关指标数据的数据建模3. 负责基于sqoop，hive、spark、sparksql、mysql进行大数据开发4. 负责离线运算、实时计算平台项目的设计、开发及运维5. 负责对数据平台进行性能调优,1、.统招本科或以上学历，6年以上大数据开发工作经验；2.熟练掌握Shell、python开发语言；3.熟练掌握Hadoop、Hive、Hbase、Spark、Spark SQL、Storm、Sqoop、Kafka、Flume、SparkMlib等分布式框架原理，有相关的调优、运维、开发经验；4.熟练掌握mysql数据库集群；5. 精通主流ETL开发工具，如,['10000']
94,字节跳动,互联网/移动互联网/电子商务,音乐版权数据分析,['面议'],['北京-海淀区'],['本科及以上'],['3年以上'],2020年04月05日,1、协调统筹集团向海外音乐版权方的数据汇报流程；2、参与集团音乐使用数据评估分析，建立数据分析模型，进行版权管理，以及同其他团队成员一起协作完善系统功能等；3、协助产品团队优化版权曲库的建设。,1、本科及以上学历，2-5年工作经验；英文口语、书写能力良好，可作为工作语言；2、能够熟练运用excel，word等办公软件，熟悉SQL等基本数据分析工具；3、了解音乐版权，热爱音乐行业，工作主动，善于学习与独立思考，有创业精神，愿意在一个高速发展的企业快速成长，拥抱不确定性；4、具备较强的沟通交流能力，头脑清晰，思维敏捷，细心负责，能与团队很好的协作。,['10000']
95,某知名互联网综合服务集团公司,,数据分析师,['50-80k·16薪'],"['深圳,北京']",['统招本科'],['8年以上'],2020年04月05日,,,[]
96,著名互联网+交易平台,,数据分析部总监,['60-70k·15薪'],['北京'],['统招本科'],['8年以上'],2020年04月05日,,,[]
97,某金融科技互联网公司,,218970 数据分析,['55-70k·12薪'],['北京'],['统招本科'],['5年以上'],2020年04月05日,,,[]
98,北京某知名外贸电商公司,,数据分析师,['20-25k·14薪'],['北京'],['本科及以上'],['3年以上'],2020年04月05日,,,[]
99,北京某互联网数据公司,,资深数据分析师,['25-46k·12薪'],"['北京,上海']",['本科及以上'],['3年以上'],2020年04月05日,,,[]
100,某知名互联网企业,,数据分析,['30-60k·14薪'],"['北京,上海,深圳']",['统招本科'],['3年以上'],2020年04月05日,,,[]
